Grapheme	Frequency	Codepoint	UnicodeName
डां	671	U+0921, U+093E, U+0902	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
डि	3	U+0921, U+093F	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN I
डी	173	U+0921, U+0940	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN II
डु	6	U+0921, U+0941	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN U
डुं	2	U+0921, U+0941, U+0902	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN U, DEVANAGARI SIGN ANUSVARA
डे	20	U+0921, U+0947	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN E
डो	148	U+0921, U+094B	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN O
डों	115	U+0921, U+094B, U+0902	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
ड्	1	U+0921, U+094D	DEVANAGARI LETTER DDA, DEVANAGARI SIGN VIRAMA
ढ	2	U+0922	DEVANAGARI LETTER DDHA
ढा	6	U+0922, U+093E	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN AA
ढि	3	U+0922, U+093F	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN I
ढु	43	U+0922, U+0941	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN U
ढे	117	U+0922, U+0947	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN E
ढे़	7	U+0922, U+0947, U+093C	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN NUKTA
ढें	1	U+0922, U+0947, U+0902	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA
ढ़े	3279	U+0922, U+093C, U+0947	DEVANAGARI LETTER DDHA, DEVANAGARI SIGN NUKTA, DEVANAGARI VOWEL SIGN E
ढ़े‍	4	U+0922, U+093C, U+0947, U+200D	DEVANAGARI LETTER DDHA, DEVANAGARI SIGN NUKTA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
ढो	22	U+0922, U+094B	DEVANAGARI LETTER DDHA, DEVANAGARI VOWEL SIGN O
त	36065	U+0924	DEVANAGARI LETTER TA
त‍	22	U+0924, U+200D	DEVANAGARI LETTER TA, ZERO WIDTH JOINER
ता	9897	U+0924, U+093E	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN AA
ता‍	33	U+0924, U+093E, U+200D	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
त‍ा	2	U+0924, U+200D, U+093E	DEVANAGARI LETTER TA, ZERO WIDTH JOINER, DEVANAGARI VOWEL SIGN AA
तां	238	U+0924, U+093E, U+0902	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
ति	2245	U+0924, U+093F	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN I
ति‍	3	U+0924, U+093F, U+200D	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN I, ZERO WIDTH JOINER
ती	25479	U+0924, U+0940	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN II
ती‍	24	U+0924, U+0940, U+200D	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN II, ZERO WIDTH JOINER
तु	6610	U+0924, U+0941	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN U
तुं	89	U+0924, U+0941, U+0902	DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN U, DEVANAGARI SIGN ANUSVARA
